16,0,5.41464e-07
16,1,1.48175e-07
16,2,1.17601e-07
16,3,1.5527e-07
16,4,1.86493e-07
16,5,2.18238e-07
32,0,2.18548e-06
32,1,1.69368e-07
32,2,1.11761e-07
32,3,1.24038e-07
32,4,2.02811e-07
32,5,2.51726e-07
64,0,8.98724e-06
64,1,1.43509e-07
64,2,1.53501e-07
64,3,1.69848e-07
64,4,2.07857e-07
64,5,2.68243e-07
128,0,3.57321e-05
128,1,2.51572e-07
128,2,3.75739e-07
128,3,5.14578e-07
128,4,6.04487e-07
128,5,7.5374e-07
256,0,0.000138967
256,1,1.0843e-06
256,2,1.56535e-06
256,3,2.07782e-06
256,4,2.72539e-06
256,5,3.30492e-06
512,0,0.000551154
512,1,4.64266e-06
512,2,6.7339e-06
512,3,8.98273e-06
512,4,1.13756e-05
512,5,1.3677e-05
1024,0,0.00812426
1024,1,0.00094587
1024,2,0.00148148
1024,3,0.00191942
1024,4,0.00254514
1024,5,0.00271336
2048,0,0.0245566
2048,1,0.00289436
2048,2,0.00552927
2048,3,0.00668002
2048,4,0.00776016
2048,5,0.00959383
