Workers,Servers,Program,No Pref Time,Pref Time,No Pref HitRatio,Pref HitRatio,Total Req,Time Diff,Pref wait_t,Pref barrier wait_t,No Pref wait_t,No Pref barrier wait_t
3,1,scf_rhf,380.893,379.387,0.760251,0.973339,247254,1.506,24.2252465419623,24.12013361196,25.1649447305168,24.9143969979
3,2,scf_rhf,397.123,397.723,0.781019,0.976906,247254,-0.6,35.1675250429647,35.09943801079,34.3308526302536,34.15396985646
3,3,scf_rhf,402.012,400.997,0.779745,0.980203,247254,1.015,24.9327375914096,24.87422188442,24.6405922989653,24.46453930353
