Workers,Servers,Program,No Pref Time,Pref Time,No Pref HitRatio,Pref HitRatio,Total Req,Time Diff,Pref wait_t,Pref barrier wait_t,No Pref wait_t,No Pref barrier wait_t
3,1,rccsd_rhf,907.033,906.913,0.694919,0.817075,33850,0.12,71.9238450504387,28.63706501893,84.8972730627066,25.33722436948
3,2,rccsd_rhf,886.404,877.513,0.694269,0.817459,33850,8.891,56.1900615253444,26.09083130199,71.5504951148825,24.49414909664
3,3,rccsd_rhf,939.143,923.338,0.694417,0.812999,33850,15.805,43.3707684175589,17.59603447111,64.1619391674092,26.2402077255
