Workers,Servers,Program  ,No Pref Time,Pref Time,No Pref HitRatio,Pref HitRatio,Pref wait_t     ,Pref barrier wait_t,No Pref wait_t  ,No Pref barrier wait_t
256    ,256    ,scf_rhf  ,573.295     ,576.775  ,0.70628         ,0.951616     ,201.670104734083,193.370896909      ,211.24257740281 ,191.4531886368
256    ,256    ,tran_rhf ,104.116     ,102.91   ,0.820833        ,0.964583     ,13.4739609916666,11.2024893081      ,14.9842035920353,11.5400913558
256    ,256    ,rccsd_rhf,4332.93     ,4504.74  ,0.42432         ,0.751907     ,1543.79215760754,810.8398296745     ,1558.57645812856,803.123271432401
